GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hf-homework,org.example.fraud.config,KafkaProducerConfig,0,34,0,0,0,7,0,3,0,3
hf-homework,org.example.fraud.service,AccountService,0,11,0,0,0,4,0,2,0,2
hf-homework,org.example.fraud.service,TransactionService,0,87,2,8,0,21,2,7,0,4
hf-homework,org.example.fraud.service,AlertService,0,22,0,2,0,7,0,3,0,2
hf-homework,org.example.fraud.service,FraudDetectionService,0,26,0,4,0,8,0,4,0,2
hf-homework,org.example.fraud.redis,CacheConfig,0,23,0,0,0,6,0,3,0,3
hf-homework,org.example.fraud.controller,AccountController,0,8,0,0,0,2,0,2,0,2
hf-homework,org.example.fraud.controller,FraudDetectionController,0,24,0,2,0,7,0,4,0,3
hf-homework,org.example.fraud.kafaka,KafkaTransactionConsumer,0,76,0,2,0,24,0,6,0,5
hf-homework,org.example.fraud.alert,KafkaAlert,0,27,0,0,0,9,0,3,0,3
hf-homework,org.example.fraud.model,Transaction,0,132,1,5,0,29,1,16,0,14
hf-homework,org.example.fraud.model,Account,0,43,0,0,0,13,0,7,0,7
hf-homework,org.example.fraud.model,SuspiciousStatus,0,24,0,0,0,2,0,1,0,1
hf-homework,org.example.fraud,FraudDetectionApplication,5,3,0,0,2,1,1,1,1,1
hf-homework,org.example.fraud.rule,AmountRule,0,28,0,2,0,5,0,5,0,4
hf-homework,org.example.fraud.rule,FraudulentAccountRule,0,32,0,2,0,8,0,5,0,4
hf-homework,org.example.fraud.rule,HighTransactionFrequencyRule,0,51,0,2,0,10,0,5,0,4
